title,sub_title,body,category,gender,price,price_compare,qty,size,color,img
Vaporfly 2,Men's Road Racing Shoes,"Continue the next evolution of speed with racing shoes designed to help you chase new goals and records. The Nike Vaporfly 2 builds on a model loved by racers everywhere with a redesigned upper that aims to improve comfort and breathability. From a 10K to a marathon, this version maintains the responsive cushioning and secure support of the original to help push you toward your personal best.",shoes,men,260,260,,,blue,/img/products/shoes/men/Vaporfly-2-1.webp
,,,,,,,,,green,/img/products/shoes/men/Vaporfly-2-2.webp
,,,,,,,,,white,/img/products/shoes/men/Vaporfly-2-3.webp
,,,,,,,,,grey,/img/products/shoes/men/Vaporfly-2-4.jpeg
Dri-FIT Slam,Women's Tennis Tank,"Crafted with our most innovative materials, this fitted tank pairs lightweight knit coverage with the breathability of mesh. The result is a statement-making top that will keep you cool and comfortable so you can play your best.",clothes,women,46.97,62,,,white,/img/products/clothes/women/Dri-FIT-Slam-white.webp
,,,,,,,,,blue,/img/products/clothes/women/Dri-FIT-Slam-blue.webp
,,,,,,,,,pink,/img/products/clothes/women/Dri-FIT-Slam-pink.webp
Infinity React 3,Women's Road Running Shoes,"Celebrate every mile with these festive road runners. With soft and supportive cushioning, the Nike Infinity React 3 is built to help keep you on the run. A wider forefoot and higher foam stacks help shield you from recurring attrition so you can make running a daily habit. The springy responsiveness surprises you too, adding an element of pure speed to 1 of our most tested shoes. Plus, colorful confetti-inspired graphic accents add fresh energy to your run.",shoes,women,165,165,,,purple,/img/products/shoes/women/Infinity-React-3-purple.webp
,,,,,,,,,pink,/img/products/shoes/women/Infinity-React-3-pink.webp
,,,,,,,,,grey,/img/products/shoes/women/Infinity-React-3-grey.webp
,,,,,,,,,white,/img/products/shoes/women/Infinity-React-3-white.webp
Dri-FIT One,Women's Mid-Rise Printed Shorts,"These shorts are the ones that are down for everything you do—from long walks to HIIT to running errands. Their silky-smooth, ultrasoft woven fabric is balanced with sweat-wicking tech so you have ultimate comfort while feeling dry as you work out. The snug inner layer helps prevent chaffing so you can push yourself with uncompromising coverage.",clothes,women,52,52,,,blue,/img/products/clothes/women/Dri-FIT-One-blue.webp
,,,,,,,,,pink,/img/products/clothes/women/Dri-FIT-One-pink.webp
Air Zoom Rival Fly 3,Men's Road Racing Shoes,"Are you ready to ramp up the speed and go the distance? Built for training and racing, the Nike Air Zoom Rival Fly 3 features soft foam and durable abrasion-resistant rubber to help you conquer even the rockiest of roads. Plus, Nike Zoom Air provides a snappy feel as you push toward the finish line.",shoes,men,100,100,,,green,/img/products/shoes/men/Air-Zoom-Rival-Fly-3-green.webp
,,,,,,,,,blue,/img/products/shoes/men/Air-Zoom-Rival-Fly-3-blue.webp
,,,,,,,,,black,/img/products/shoes/men/Air-Zoom-Rival-Fly-3-black.webp
Sportswear Phoenix Fleece,Women's High-Waisted Wide-Leg Sweatpants,"Rise up and transform your fleece wardrobe with strong cozy vibes. The extra-long, wide leg and hem vents of these Phoenix Fleece pants let you show off your favorite shoes while taller ribbing at the waist and an exaggerated drawcord ensure your look is anything but basic.",clothes,women,70,70,,,brown,/img/products/clothes/women/Sportswear-Phoenix-Fleece-brown.webp
,,,,,,,,,red,/img/products/clothes/women/Sportswear-Phoenix-Fleece-red.webp
Invincible 2,Men's Road Running Shoes,"The Nike Invincible 2 has the same supersoft feel that lets you feel the potential when your foot hits the pavement. We created the shoe with plenty of snappy responsiveness and incredible support to help keep you feeling secure and competitive. It's 1 of our most tested shoes, still designed for you to stay on the track and away from the sidelines.",shoes,men,104.97,180,,,orange,/img/products/shoes/men/invincible-2-orange.webp
,,,,,,,,,grey,/img/products/shoes/men/invincible-2-grey.webp
,,,,,,,,,pink,/img/products/shoes/men/invincible-2-pink.webp
,,,,,,,,,black,/img/products/shoes/men/invincible-2-black.webp
Zegama,Men's Trail Running Shoes,"Navigate the up and downs of uncompromising terrain with the Nike Zegama. Developed with great grip and stability, it has you covered so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. Whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it.",shoes,men,160,111.97,,,blue,/img/products/shoes/men/Zegama-1.webp
,,,,,,,,,green,/img/products/shoes/men/Zegama-2.webp
Pegasus 39,Men's Road Running Shoes,"Let the Nike Pegasus 39 help you ascend to new heights. More lightweight up top than the Pegasus 38 and ideal to wear in any season, it has a supportive sensation to help keep your feet contained, while underfoot cushioning and double Zoom Air units (1 more than the Peg 38) give you an extra pop to your step. Your trusted workhorse with wings is back. Time to fly.",shoes,men,104.97,139,,,white,/img/products/shoes/men/pegasus-39-white.webp
,,,,,,,,,green,/img/products/shoes/men/pegasus-39-green.webp
,,,,,,,,,pink,/img/products/shoes/men/pegasus-39-pink.webp
,,,,,,,,,purple,/img/products/shoes/men/pegasus-39-purple.webp
Alphafly 2,Men's Road Racing Shoes,"Once you take a few strides in the Nike Alphafly 2, you’ll never look at your favorite pair of old racing shoes the same. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system brings comfort and speed together so you can enjoy our greatest energy return yet while you chase your personal bests.",shoes,men,285,285,,,green,/img/products/shoes/men/alphafly-2-green.webp
,,,,,,,,,orange,/img/products/shoes/men/alphafly-2-orange.webp
Pegasus Trail 4,Women's Trail Running Shoes,"It's time to get outside. Running is your daily ritual, taking you from road to trail as you seek out new routes and goals. With a supportive, springy feel, these trail runners can take you there and back again. Underfoot traction helps keep you going over rocky terrain while still providing a smooth ride for the road. Your trusted workhorse with wings is back and ready for an off-road adventure.",shoes,women,145,145,,,pink,/img/products/shoes/women/Pegasus-Trail-4-pink.webp
,,,,,,,,,purple,/img/products/shoes/women/Pegasus-Trail-4-purple.webp
,,,,,,,,,red,/img/products/shoes/women/Pegasus-Trail-4-red.webp
,,,,,,,,,brown,/img/products/shoes/women/Pegasus-Trail-4-brown.webp
